alim_grp_nom_fr;alim_nom_fr;Energie;Eau;Proteines;Glucides;Lipides;Sucres;Fructose;Galactose;Glucose;Lactose;Maltose;Saccharose;Amidon;Fibres alimentaires;Polyols totaux;Cendres;Alcool;Acides organiques;AG satures;AG monoinsatures;AG polyinsatures;AG 4:0, butyrique;AG 6:0, caproeque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stearique;AG 18:1 9c(n9), oleique;AG 18:2 9c,12c(n6), linoleique;AG 18:3 c9,c12,c15(n3), alphalinolenique;AG 20:4 5c,8c,11c,14c(n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c(n3) EPA;AG 22:6 4c,7c,10c,13c,16c,19c(n3) DHA;Cholesterol(mg/100g);Sel chlorure de sodium;Calcium(mg/100g);Chlorure(mg/100g);Cuivre(mg/100g);Fer(mg/100g);Iode(eg/100g);Magnesium(mg/100g);Manganese(mg/100g);Phosphore(mg/100g);Potassium(mg/100g);Selenium(eg/100g);Sodium(mg/100g);Zinc(mg/100g);Retinol(eg/100g);BetaCarotene(eg/100g);Vitamine D(eg/100g);Vitamine à(mg/100g);Vitamine K1(eg/100g);Vitamine K2(eg/100g);Vitamine C(mg/100g);Vitamine B1 ou Thiamine(mg/100g);Vitamine B2 ou Riboflavine(mg/100g);Vitamine B3 ou PP ou Niacine(mg/100g);Vitamine B5 ou Acide pantothenique(mg/100g);Vitamine B6(mg/100g);Vitamine B9 ou Folates totaux(eg/100g);Vitamine B12(eg/100g)
fruits. legumes. legumineuses et oleagineux;Radis rouge. cru;14.5;95.5;0.94;1.53;0.5;1.1;0.4;0;0.7;0.2;0.2;0.2;0.35;1.4;0.5;0.78;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.04;15;32.2;0.01;0.4;20;6.2;0.04;20;250;20;16;0.08;0;5;0;0.08;0.8;;12.2;0.015;0.01;0.1;0.09;63;95.4;0
fruits. legumes. legumineuses et oleagineux;Tomate. crue;19.3;94.1;0.86;2.49;0.26;2.48;1.4;0;1.08;0;0;0;0;1.2;13;0.97;0;0.39;56;35;0.12;0;0;0;0;0.00016;0.00073;41;11;35;93;0.0086;0;0;0;0;0.0081;8.14;51;29;0.12;0.2;10.1;66;26.6;256;10;3.22;87;0;449;0;0.66;7.9;;15.5;39;19;0.65;0.21;82;22.7;0
fruits. legumes. legumineuses et oleagineux;Artichaut. cru;;84.9;3.2;4.92;0.18;0.99;;;;;;;0.6;5.4;;1.12;0;0.27;36;5;64;0;0;0;0;2;2;29;3;;;;;0;0;0;0.15;52;;0.23;1.19;0.5;47.8;0.26;81.2;387;0.23;60.5;0.49;0;8;0;0.27;14.8;;11.7;81;63;1.05;0.32;0.11;68;0
fruits. legumes. legumineuses et oleagineux;Aubergine. crue;;92.9;1.12;2.39;0.14;2.39;1.12;;1.13;;;0.14;;2.7;;0.58;0;0.18;34;16;76;0;0;0;0;0;0;25;9;11;67;0.0091;0;0;0;0;0.0063;8.7;;81;0.32;0.15;12;0.24;27.2;235;0.2;2.5;0.16;0;14;0;0.17;3.5;;2.1;45;34;0.72;0.25;82;24.5;0
fruits. legumes. legumineuses et oleagineux;Cardon. cru;;94;0.7;1.7;0.1;1.5;;;;;;;0.2;1.6;;1.13;0;traces;11;18;41;;;;;;;9;2;;;;;;;0;0.43;70;;0.23;0.7;95;42;0.26;23;400;0.2;170;0.17;0;;0;0.19;;;2;0.02;0.03;0.3;0.34;0.12;68;0
fruits. legumes. legumineuses et oleagineux;Celerirave. cru;29.3;88.8;1.38;3.98;0.5;1.6;0.2;;0.2;0.2;0.2;1.6;0.35;4.5;2.2;1.31;0;56;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;85;40;104;0.11;0.28;20;13;0.2;56;500;20;34;0.33;0;5;0;0.12;0.8;;2.87;59;41;0.3;0.59;0.2;39;0
fruits. legumes. legumineuses et oleagineux;Champignon de Paris ou champignon de couche. cru;28;93.9;2.62;3.15;0.36;2.5;0.49;0;2.01;0;0;0;0.2;1;0.45;0.71;0;0.13;67;12;0.14;0;0;0;0;0.00029;0.0013;36;13;3;0.14;0.00026;0;0;0;0;98;6.03;61;0.35;0.31;1;10.5;76;96.6;364;6.47;39;0.5;0;0;0.3;0.02;0;;3.09;73;0.29;5;1.57;0.1;34.5;0
fruits. legumes. legumineuses et oleagineux;Brocoli. cru;;88.9;3.95;1.7;0.48;1.7;0.73;0;0.48;0.15;0.15;0.18;0;2.9;;1;0;1.1;61;22;0.16;0;0;0;0;0;1;38;0.0065;;;;;0;0;0;48;45.9;89;59;0.76;0.8;21.9;0.4;76.5;357;0.6;19;0.4;0;361;0;1.04;181;;106;74;0.12;0.82;0.78;0.17;153;0
fruits. legumes. legumineuses et oleagineux;Chou de Bruxelles. cru;;85;3.98;5.67;0.4;2.2;0.67;0;0.52;0;0;0.98;1;3.95;;1.27;0;traces;0.07;19;0.23;0;0;2;0;0;0;63;4;14;54;0.18;0;0;0;0;41;32.3;;62;1.15;0.25;23.5;0.3;76.4;436;1.1;16.5;0.43;0;450;0;0.89;214;;103;0.13;0.13;0.77;0.52;0.25;95.5;0
fruits. legumes. legumineuses et oleagineux;epinard. cru;;91.6;2.62;2.25;0.5;0.32;86;71;78;0;0;82;1.93;2.37;;1.81;0;traces;64;21;0.26;0;0;0;0;0;0.0093;52;0.0028;21;45;0.22;0;0;0;0;0.17;114;98;0.1;3.61;3.4;52.5;1.3;45.2;504;0.1;66.7;0.82;0;5630;0;2.47;521;;41.1;87;0.21;0.71;0.18;0.21;207;0
fruits. legumes. legumineuses et oleagineux;Haricot vert. cru;;90.4;1.85;4.14;0.21;3.26;1.04;0;0.99;0;0;0.45;0.88;2.85;;0.68;0;0.2;0.06;0.0085;0.11;0;0;0;0;0;0;51;0.0085;7;51;0.06;;0;0;0;0.0096;48.5;16;63;1.02;0.8;21;0.23;38.5;224;0.3;3.85;0.32;0;379;0;0.36;14.4;;13.6;86;0.11;0.72;0.14;0.12;48.5;0
fruits. legumes. legumineuses et oleagineux;Navet. pele. cru;;91.9;0.76;4.7;0.1;3.8;;;;;;;0.69;1.9;;0.65;0;traces;11;6;53;0;0;0;0;0;0;0.01;1;;;;;0;0;0;0.11;40;;63;0.4;0.5;9.5;0.1;38.5;237;1.25;42;0.25;0;0;0;0.03;0.1;;18.5;0.04;38;0.7;0.2;85;17.5;0
fruits. legumes. legumineuses et oleagineux;Chourave. cru;;91;1.79;2.35;0.1;2.35;;;;;;;;3.6;;1;0;0.16;13;7;49;0;0;0;0;0;0;11;1;7;21;27;0;0;0;0;0.05;24;;0.13;0.4;0.71;19;0.14;46;350;0.47;20;0.03;0;22;0;0.48;0.1;;55.1;0.05;0.02;0.4;0.17;0.15;16;0
fruits. legumes. legumineuses et oleagineux;Chou vert. cru;;91.8;2.53;1.92;0.41;1.92;0.87;0;1;0;6;48;0;3.08;;0.79;0;0.44;54;14;76;0;0;0;0;1;1;27;0.0025;13;36;39;0;0;0;0;65;96.2;;49;0.93;0.3;18;0.17;32.7;231;1.86;25.8;0.22;0;321;0;0.16;121;;69;59;39;0.26;0.17;0.15;67.9;0
fruits. legumes. legumineuses et oleagineux;Haricot vert. surgele. cru;34;89.4;1.97;4.35;0.17;1.96;0.69;0;0.47;0;0.51;0.3;1.53;3.68;0.1;0.63;0;traces;49;0.0053;78;0;0;0;0;0;0;42;0.0069;0.0053;36;42;;0;0;0;13;51.5;;63;0.85;0.8;22;0.29;40.8;186;0.3;3.86;0.31;0;292;0;0.24;38.4;;18;99;92;0.5;77;68;39.5;0
fruits. legumes. legumineuses et oleagineux;Petits pois. crus;;79.2;5.84;7;0.55;5.67;0.28;0;0.15;0;0.17;4.68;;5.5;;0.84;0;traces;0.1;42;0.29;0;0;0;0;0;0;92;0.0075;42;0.24;48;0;0;0;0;0.0088;27.5;37.5;0.14;1.64;0.15;30.5;0.4;119;272;1.02;3.5;1;0;449;0;75;47.4;;41.5;0.29;0.13;2.15;0.43;0.16;45;0
fruits. legumes. legumineuses et oleagineux;Asperge. pelee. crue;;93.3;2.04;2.4;0.21;1.88;0.84;0;0.49;0;0;0.21;;1.95;;0.54;0;traces;51;5;98;0;0;0;0;0;0;49;2;4;0.09;0.0081;;0;0;0;11;22;;0.12;1.32;0.15;11.5;0.16;52;202;1;4.2;0.49;0;449;0;0.72;40.3;;8.8;0.13;0.12;0.99;0.17;76;101;0
fruits. legumes. legumineuses et oleagineux;Choufleur. surgele. cru;;92.5;2.09;2.64;0.37;1.91;;;;;;;;1.82;;0.52;0;traces;0.1;19;0.13;0;0;0;0;0;0;36;5;19;29;99;0;0;0;0;47;21.7;;31;0.51;0.3;12;0.2;41.6;193;0.8;20.3;0.17;0;7;0;0.07;15.4;;51.9;51;0.07;0.43;0.14;0.12;64;0
fruits. legumes. legumineuses et oleagineux;epinard. surgele. cru;;91.6;2.87;0.89;0.49;0.6;0.15;0;0.2;0;0.15;0.25;0;2.7;;1.2;0;traces;75;29;0.2;0;0;0;0;0;0;48;2;19;35;0.16;0;0;0;0;98;159;;0.12;2.28;3.4;50.5;0.53;47.7;398;0.1;46.5;0.49;0;7040;0;2.9;356;;21.4;93;0.2;0.51;0.11;0.18;183;0
fruits. legumes. legumineuses et oleagineux;Petits pois. surgeles. crus;;80.2;5.86;8.77;0.44;3.87;0.2;0;64;0;64;3.54;4.17;6.45;;0.68;0;traces;0.11;41;0.28;0;0;0;0;0;0;0.09;0.0075;41;0.23;47;0;0;0;0;0.09;27.3;20;0.15;1.53;0.15;25.9;0.35;86.9;158;1.02;21.7;0.86;0;1230;0;25;49;;20.8;0.27;99;1.72;0.43;0.08;87;0
fruits. legumes. legumineuses et oleagineux;Poivron vert. cru;26;93;0.81;3.43;0.5;3;1.5;0;1.5;0.2;0.2;0.2;0.35;3.2;0.5;0.41;0;0.27;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.013;6.2;20;0.04;0.22;20;7.7;0.07;17;160;20;5;0.11;0;154;0;0.28;0.8;;26.9;0.015;0.01;0.3;0.11;0.21;55.1;0
fruits. legumes. legumineuses et oleagineux;Poivron rouge. cru;36.6;90.2;1.06;5.98;0.5;4.8;2.6;0;2.2;0.2;0.2;0.2;0.35;3.2;1;0.53;0;0.45;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.013;4.8;29.7;0.04;0.21;20;8.2;0.08;19;180;20;5;0.14;0;554;0;3.45;3.16;;121;36;0.11;0.34;0.18;0.31;81.8;0
fruits. legumes. legumineuses et oleagineux;Radis noir. cru;29.2;91.4;0.94;5.52;0.3;4.3;1.4;0.2;2.6;0.2;0.2;0.3;0.35;1.2;0.5;0.79;0;0.0042;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;58;39;42.1;0.01;0.23;20;10;0.06;32;300;20;23;0.15;;5;0;0.08;0.8;;9.58;21;16;0.23;0.14;77;17.3;
fruits. legumes. legumineuses et oleagineux;Scarole. crue;;93.8;1.25;0.3;0.2;0.23;;;;;;;67;3.1;;1.4;0;traces;48;4;88;0;0;0;0;0;3;41;2;4;75;13;0;0;0;0;55;52;;99;0.83;0.4;15;0.42;28;314;0.6;22;0.79;0;1500;traces;traces;;;6.5;0.08;75;0.4;0.9;0.02;142;0
fruits. legumes. legumineuses et oleagineux;Betterave rouge. crue;;86.7;1.74;9.1;0.24;6.76;0.29;;0.35;0;0;;;2.55;;0.94;0;traces;38;29;94;0;0;0;0;0;0;36;0.0015;26;78;16;0;0;0;0;0.15;22.1;;98;0.7;0.5;19;0.46;38.1;328;0.2;60.5;0.54;0;20;0;0.06;0.2;;6.45;28;43;0.27;0.15;59;100;0
fruits. legumes. legumineuses et oleagineux;echalote. crue;63.6;82.3;1.81;12.2;0.5;3.3;0.8;;0.5;0.2;0.6;1.4;0.35;2.6;0.5;0.67;0;0.2;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;13;9.5;27;0.07;0.12;20;7.5;0.08;46;220;20;5;0.2;0;5;0;0.08;0.8;;8;36;0.01;0.2;0.19;0.1;10.2;0
fruits. legumes. legumineuses et oleagineux;Meche. crue;16.8;93.7;2;0.5;0.5;traces;0.2;;0.2;0.2;0.2;0.2;0.35;2.3;0.5;1.12;0;0.13;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.013;41;45.4;0.1;0.4;20;19;0.28;30;330;20;5;0.14;0;3280;0;0.22;48.9;;2.38;42;66;0.37;0.25;96;45.5;0
fruits. legumes. legumineuses et oleagineux;Legumes. melange surgele. crus;65.1;85.2;2.26;5.71;2.65;2.18;0.54;0;0.82;0;0;0.82;3.5;4.7;35;1.16;0;traces;0.62;31;0.24;0.0032;4;14;14;95;61;0.36;63;31;0.19;0.05;;0;0;0;0.6;33;;93;0.98;5;24;0.24;59;212;;39;0.45;0;500;0;;;;13.7;0.12;85;1.25;0.16;96;29;0.08
fruits. legumes. legumineuses et oleagineux;Champignon. chanterelle ou girolle. crue;33.1;88.7;2.28;2.3;0.78;1.87;0;0;1.16;0;0;0;;4.23;0.43;1.38;0;traces;0.5;;;;;;;;;;;;;;;;;0;16;8.33;50;0.39;3.52;3.3;10;0.28;53.5;449;0.9;5;0.84;0;;5.3;0.06;;;5.5;53;0.31;5.44;1.08;42;2;0
fruits. legumes. legumineuses et oleagineux;Champignon. morille. crue;24.5;89.6;3.16;0.1;0.54;44;0;0;44;0;0;0;;3.35;56;1.58;0;traces;0.16;29;0.24;;0;0;1;0;1;52;9;22;0.22;0;;0;0;;64;43;8;0.63;1.2;;19;0.59;194;411;;21;2.03;;0;5.1;0.05;;;5;69;0.21;2.25;0.44;0.14;9;
fruits. legumes. legumineuses et oleagineux;Champignon. truffe noire. crue;;75.9;5.77;;0.51;0.7;;;;;;;;8.5;0.45;1.92;0;traces;0.11;0;0.27;;;;;;;;;;;;;;;0;0.17;24;27.7;;3.5;;23.8;;62;447;;66;3.8;0;;0;0.12;;;1;0.05;0.09;2;;0.18;44;
fruits. legumes. legumineuses et oleagineux;Maes doux. en epis. surgele. cru;;73.3;3.36;17;1.19;3.78;0.38;0;0.6;0;0.16;1.61;;2.65;;0.65;0;traces;0.19;0.34;0.58;0;0;0;0;0;0.0064;0.16;19;0.34;0.56;19;0;0;0;0;0.01;4.18;;0.15;0.59;0.5;30.3;0.25;108;276;4;4;1.05;0;61;0;0.37;0.35;;6.9;0.11;82;1.72;0.39;0.18;36.5;0
fruits. legumes. legumineuses et oleagineux;Oseille. crue;;93;1.84;1.6;0.65;1.54;;;;;;;55;1.8;;1.1;0;traces;0.1;0.04;0.26;;;;;;;;;;;;;;;0;9;44;;0.13;2.4;0.4;103;0.35;63;390;0.9;4;0.2;0;;0;;;;48;0.04;0.1;0.5;41;0.12;13;0
fruits. legumes. legumineuses et oleagineux;Champignon. pleurote. crue;25.5;89.2;3.06;1.5;0.36;0.71;0;0;0.71;0;0;0;0;2.4;0.45;1.01;0;traces;62;31;0.12;0;0;0;0;0;0;62;0;;;;;0;0;0;34;5;;0.24;1.17;;18;0.11;120;420;;13.5;0.77;0;29;0.7;0;0;;4;0.13;0.35;4.96;1.29;0.11;38;0
fruits. legumes. legumineuses et oleagineux;Chou blanc. cru;36.5;90;1.38;4.63;0.6;4.2;1.8;;2.4;0.2;0.2;0.2;0.35;3.5;0.5;0.75;0;0.18;0.27;0.17;0.1;0.01;0.01;0.01;0.01;0.01;0.02;0.17;0.07;0.16;0.06;0.04;0.01;0.01;0.01;0;33;59;50;0.02;0.3;20;11;0.1;33;240;20;13;0.16;0;5;0;0.08;9.6;;8.88;0.04;0.01;0.2;0.18;0.17;69.6;0
fruits. legumes. legumineuses et oleagineux;Tomate verte. crue;;93;1.2;4;0.2;4;;;;;;;;1.1;;0.5;0;traces;28;0.03;81;0;0;0;0;0;0;0.02;7;;;;;0;0;0;33;13;;0.09;0.51;;10;0.1;28;204;;13;0.07;0;346;0;0.38;10.1;;23.4;0.06;0.04;0.5;0.5;81;9;0
fruits. legumes. legumineuses et oleagineux;Batavia. crue;17.9;95.6;1.25;1.78;0.5;1.1;0.6;;0.5;0.2;0.2;0.2;0.35;2.1;0.5;0.6;0;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;15;26;60.6;0.04;0.39;20;8.7;0.28;17;200;20;6;0.16;;891;;0.08;20.6;;4.38;42;0.01;0.2;79;51;65.6;
fruits. legumes. legumineuses et oleagineux;Haricot de Lima. cru;105;70.2;6.84;15.3;0.86;1.48;;;;;;;;4.9;0.36;1.89;0;traces;0.2;0.05;0.42;0;0;0;;0;2;0.17;22;;;;;0;0;0;0.02;34;;0.32;3.14;;58;1.22;136;467;;8;0.78;0;126;0;0.32;5.6;;23.4;0.22;0.1;1.47;0.25;0.2;34;0
fruits. legumes. legumineuses et oleagineux;Courge musquee. pulpe. crue;;93.3;0.55;4.6;0.1;;;;;;;;0.95;1;;0.53;0;traces;;;;;;;;;;;;;;;;;;;;18.3;;;0.43;0.5;6.25;;18.3;235;;;;;;;;;;4.6;0.01;;;;;;
fruits. legumes. legumineuses et oleagineux;Potimarron. pulpe. cru;;94.6;0.63;3.1;0.1;;0.9;;1.1;;;0.7;2.26;1.1;;0.5;0;traces;27;2;51;;;;;;;27;;2;18;33;0;;;0;74;18.5;;29;0.27;0.15;7.13;38;33;243;3.35;29.7;0.11;0;;0;0.1;;;5;0.05;0.02;0.2;0.4;0.05;36;0
fruits. legumes. legumineuses et oleagineux;Courge hokkaedo. pulpe. crue;;86.1;1.4;9.98;0.6;;;;;;;;4.38;2.6;;0.83;0;traces;;;;;;;;;;;;;;;;;;;;24.7;;;0.4;;10.8;;32.8;436;;;;;;;;;;13.9;15;;;;;;
fruits. legumes. legumineuses et oleagineux;Courge melonnette. pulpe. crue;;91.2;0.75;5.98;0.13;;;;;;;;0.33;1.35;;0.65;0;traces;;;;;;;;;;;;;;;;;;;;18.3;;;0.48;;16.8;;23.5;359;;;;;;;;;;9.7;0.01;;;;;;
fruits. legumes. legumineuses et oleagineux;Courge doubeurre(butternut). pulpe. crue;;86.4;1;5.4;0.1;2.2;0.99;0;0.99;0;0;0.22;3.2;2;;0.8;0;traces;21;7;42;0;0;0;0;0;0;18;2;;;;;0;0;0;0.01;48;;72;0.7;;34;0.2;33;352;;4;0.15;0;4230;0;1.44;1.1;;21;0.1;0.02;1.2;0.4;0.15;27;0
fruits. legumes. legumineuses et oleagineux;Courge. crue;;92.3;1.1;1.6;0.17;1.6;0.9;;0.7;;;0;;1.3;;0.74;0;traces;37;13;77;0;0;0;0;0.00099;0.00099;32;3;13;28;48;0;0;0;0;11;28.5;;61;0.6;0.15;16.5;0.17;30.5;312;0.24;4.5;0.26;0;820;0;0.12;1.1;;14.7;28;0.1;0.49;0.17;0.13;34;0
fruits. legumes. legumineuses et oleagineux;Courge spaghetti. pulpe. crue;;91.6;0.64;5.41;0.57;2.76;;;;;;;;1.5;;0.28;0;traces;0.12;42;0.24;;;;;2;2;0.1;11;;;;;;;0;43;23;;37;0.31;;12;0.13;12;108;;17;0.19;0;64;0;0.13;0.9;;2.1;37;18;0.95;0.36;0.1;12;0
fruits. legumes. legumineuses et oleagineux;Piment. cru;;87.9;1.87;7.7;0.32;5.3;;;;;;;2.3;1.65;;0.74;0;traces;31;18;0.17;0;0;0;0;0;0.0015;24;5;11;0.11;5;;0;0;0;0.02;14;;0.15;1.12;;24;0.21;55.3;331;;8;0.28;0;534;0;0.69;14;;155;81;88;1.07;0.13;0.39;23;0
fruits. legumes. legumineuses et oleagineux;Champignon. oronge vraie. crue;23.2;92.9;2;2.45;0.3;1;;;;;;;1;1.7;0.45;0.44;0;traces;0.07;0;0.17;;;;;;;;;;;;;;;0;13;17;;;1.1;;;;89;320;;5;0.4;0;;2.1;0.12;;;3;0.1;0.31;4;;0.18;44;
fruits. legumes. legumineuses et oleagineux;Champignon. cepe. cru;31.6;90.3;3.13;3.03;0.43;1.7;0.26;;0.27;;;;0.2;1.93;0.45;0.81;0;traces;71;0;0.27;;;;;;;;;;;;;;;0;24;23;;0.23;1;;12;0.17;129;361;;5;0.4;0;;3.1;0.04;;;3;0.21;0.32;4.45;2.7;0.18;44;
fruits. legumes. legumineuses et oleagineux;Champignon. rose des pres. cru;25.3;92.1;2.3;2.45;0.4;1;;;;;;;1;1.7;0.45;0.45;0;traces;0.1;0.01;0.22;;;;;;;;;;;;;;;0;13;10;;;1.2;;;;102;320;;5;0.4;0;;0;0.12;;;4;0.1;0.13;4.2;;0.18;44;
fruits. legumes. legumineuses et oleagineux;Chicoree rouge. crue;;94;1.4;1.6;0.1;1.6;;;;;;;;3;;0.26;0;traces;0.02;0;0.05;;;;;;;;;;;;;;;0;18;36;;;0.3;;;;30;180;;7;0.2;0;;0;0.57;;;10;0.07;0.05;0.3;;0.07;13;
fruits. legumes. legumineuses et oleagineux;Chicoree verte. crue;;91.2;1.9;0.5;0.5;0.5;;;;;;;;1;;0.69;0;traces;0.12;0.01;0.22;;;;;;;;;;;;;;;0;41;82.5;;0.06;4.15;;17;0.3;45;498;;16.5;0.32;0;3250;0;0.57;;;46;0.06;0.53;0.3;;0.02;29;
fruits. legumes. legumineuses et oleagineux;Citrouille. pulpe. crue;;91.6;1;6;0.1;2.76;;;;;;;;0.5;;0.8;0;traces;52;13;5;0;0;0;0;1;6;37;3;;;;;0;0;0;0.0025;21;;0.13;0.8;;12;0.13;44;340;;1;0.32;0;3100;0;1.06;1.1;;9;0.05;0.11;0.6;0.3;61;16;0
fruits. legumes. legumineuses et oleagineux;Chou chinois ou pakchoi ou petsai. cru;;95.2;1.38;1.65;0.2;1.18;;;0.82;;;;;1.05;;0.75;0;traces;31;17;0.09;0;0;0;0;0.00099;0.00099;27;2;17;27;53;0;0;0;0;0.13;86.4;;21;0.68;0.3;17.5;0.17;37.8;249;0.29;51;0.17;0;2680;0;0.11;45.5;;40.3;0.04;65;0.48;92;0.19;73.6;0
fruits. legumes. legumineuses et oleagineux;Poivron jaune. cru;30.7;91.9;0.94;4.73;0.3;4.3;2.3;;2;0.2;0.2;0.2;0.35;1.2;0.5;0.54;0;1.1;0.11;0.11;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.03;0.11;0.05;0.02;0.01;0.01;0.01;0;0.013;8.6;29.6;0.07;0.21;20;12;0.11;23;220;20;5;0.23;0;642;0;1.76;1.18;;121;0.03;0.01;0.28;0.14;79;43.3;0
fruits. legumes. legumineuses et oleagineux;Laitue romaine. crue;;94.6;1.24;1.2;0.3;1.19;0.8;0;0.39;0;0;0;0;2.1;;0.59;0;traces;0.04;12;0.16;0;0;0;0;0;0;35;0.0049;9;47;0.11;0;0;0;0;0.02;33;48;48;0.97;1.25;14;0.16;30;247;1;8;0.23;0;5230;0;0.13;103;;14;72;67;0.31;0.14;74;136;0
fruits. legumes. legumineuses et oleagineux;Tomate cerise. crue;33.7;90.1;1.31;5.62;0.5;4.8;2.5;;2.3;0.2;0.2;0.2;0.35;1.2;0.5;0.96;0;0.56;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.013;6.6;52.3;0.05;0.37;20;11;0.16;31;330;20;5;0.18;0;1360;0;0.4;2.83;;21.8;48;18;0.92;79;96;17.6;0
fruits. legumes. legumineuses et oleagineux;Pois mangetout ou pois gourmand. cru;;88.3;3.08;6.2;0.27;4;;;;;;;;2.63;;0.63;0;traces;39;21;89;0;0;0;0;0;2;33;3;;;;;0;0;0;0.01;40.7;;79;2.08;;24;0.24;56.8;200;;4;0.27;0;630;0;0.39;25;;60;0.15;0.08;0.6;0.75;0.16;42;0
fruits. legumes. legumineuses et oleagineux;Panais. cru;58.3;80.6;1.54;10.1;0.4;4.8;;;;;;;;4.7;0.81;0.99;0;traces;63;0.07;0.17;;;;;;3;51;0.0085;28;0.16;14;;;;0;0.02;45.5;;0.13;0.7;0.25;29.5;0.48;82.5;505;0.2;8;0.72;0;0;0;1.9;22.5;;11.5;0.09;0.12;1.95;0.6;0.1;67;0
fruits. legumes. legumineuses et oleagineux;"Haricot mungo germe ou pousse de ""soja"". cru";;91.7;2.81;3.4;0.5;3.4;;;;;;;;1.7;;0.34;0;traces;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0;43;16;6.7;0.1;0.44;20;16;0.12;43;120;50;17.1;0.32;0;10;0.5;95;2.1;;4.13;65;0.06;0.71;0.17;0.06;61.3;0
fruits. legumes. legumineuses et oleagineux;Tomate cetelee ou coeur de boeuf. crue;19.8;94.4;0.5;3.23;0.5;2.8;1.6;;1.2;0.2;0.2;0.2;0.35;0.9;0.5;0.54;0;0.41;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;0.013;7.2;41.4;0.03;0.14;20;6.9;0.12;19;210;20;5;0.09;;825;;0.36;0.82;;11.7;35;0.01;0.44;0.06;57;65.4;
fruits. legumes. legumineuses et oleagineux;Haricot beurre. cru;;90.1;1.85;5.6;0.16;;;;;;;;;2.45;;0.63;0;traces;26;5;59;;;;;;0;22;4;;;;;;;0;15;41;;0.07;1.07;0.6;26;0.21;38;209;;6;0.32;0;;0;0.45;;;18.7;0.08;0.12;0.68;72;87;68.5;0
fruits. legumes. legumineuses et oleagineux;Salsifis noir. ou scorsonere d'Espagne. cru;;77;3.13;15.3;0.3;;;;;;;;;3.3;;0.9;0;traces;0.1;;;;;;;;;;;;24;36;;0;;0;11;24.1;;0.12;0.7;0.2;32.1;;94;387;;4.5;;0;;0;0.8;;;3;0.15;0.05;0.3;;0.07;;0
fruits. legumes. legumineuses et oleagineux;Bambou. pousse. crue;35.1;89.8;2.52;5.08;0.2;3;;;;;;;;1.45;0;0.95;0;0;53;0.0053;0.1;0;0;0;0;0.0017;0.0017;44;0.0052;;;;;0;0;0;0.01;15.5;;0.19;0.4;;3;0.26;54.5;517;;4;1.1;0;12;0;1;0;;7.5;95;95;0.55;0.16;0.24;7;0
fruits. legumes. legumineuses et oleagineux;Cresson alenois. cru;;91.1;2.55;2.2;0.6;2.2;0.07;;0.16;0;0;0;0;1.35;;1.15;0;traces;47;0.14;0.26;0;0;0;0;0;0;41;0.0055;0.03;65;0.2;0;0;0;0;96;75.5;;0.13;1.8;0.9;41;0.55;76;368;;38.5;0.35;0;4150;0;2.15;542;;52;0.13;0.23;1.75;0.27;0.27;95;0
fruits. legumes. legumineuses et oleagineux;Laitue iceberg. crue;;95.6;1.01;2.45;0.18;1.48;0.83;0;0.62;0;0;34;;1.15;;0.44;0;traces;23;0.0063;88;0;0;0;0;0;0;21;0.0023;5;34;54;0;0;0;0;24;17.4;;29;0.43;0.6;8.73;0.19;23.6;179;0.15;9.48;0.21;0;299;0;0.22;56.4;;4.72;48;38;0.19;0.11;48;48;0
